convention,scale,pool,dim,lam,attack,n_train,n_test,attack_budget,budget_mult,review_budget,policy,rep,n_flips,prevalence,score_auroc,recovered,precision,recall,precision_lift,remaining_poisoned_after_delete,test_logloss_no_action,test_logloss_after_delete,test_logloss_after_correct,test_logloss_clean_oracle,delete_minus_no_action,correct_minus_no_action
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,8,279,0.14991939817302524,0.6489177077244448,25,0.17857142857142858,0.08960573476702509,0.028652030398403333,254,0.6471848602310166,0.6477386817970427,0.6475612707972439,0.6487834217561271,0.0005538215660261248,0.000376410566227281
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,0.5,140,random,9,279,0.14991939817302524,0.6489177077244448,14,0.1,0.05017921146953405,-0.04991939817302524,265,0.6471848602310166,0.6481642647428075,0.6469682500860949,0.6487834217561271,0.0009794045117909045,-0.00021661014492169173
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,top,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6446493446447851,0.6471848602310166,0.6487834217561271,-0.0025355155862315515,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,bottom_oracle_diagnostic,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6821629137585288,0.6471848602310166,0.6487834217561271,0.034978053527512154,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,two_tailed,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6415532473865312,0.6471848602310166,0.6487834217561271,-0.005631612844485434,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,0,279,0.14991939817302524,0.6489177077244448,41,0.14695340501792115,0.14695340501792115,-0.0029659931551040963,238,0.6471848602310166,0.6484282093577247,0.6473055531720873,0.6487834217561271,0.0012433491267080932,0.00012069294107064366
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,1,279,0.14991939817302524,0.6489177077244448,41,0.14695340501792115,0.14695340501792115,-0.0029659931551040963,238,0.6471848602310166,0.6475243879207119,0.6475916301480441,0.6487834217561271,0.0003395276896952515,0.000406769917027483
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,2,279,0.14991939817302524,0.6489177077244448,39,0.13978494623655913,0.13978494623655913,-0.010134451936466116,240,0.6471848602310166,0.6477037182094499,0.6473727126060436,0.6487834217561271,0.000518857978433318,0.0001878523750269423
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,3,279,0.14991939817302524,0.6489177077244448,43,0.15412186379928317,0.15412186379928317,0.004202465626257923,236,0.6471848602310166,0.6475013396051748,0.6470673446658132,0.6487834217561271,0.00031647937415812954,-0.00011751556520345208
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,4,279,0.14991939817302524,0.6489177077244448,39,0.13978494623655913,0.13978494623655913,-0.010134451936466116,240,0.6471848602310166,0.6470379403303576,0.6470738778279382,0.6487834217561271,-0.00014691990065907046,-0.0001109824030783857
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,5,279,0.14991939817302524,0.6489177077244448,41,0.14695340501792115,0.14695340501792115,-0.0029659931551040963,238,0.6471848602310166,0.6483317944562934,0.6478076825467887,0.6487834217561271,0.0011469342252767856,0.0006228223157720425
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,6,279,0.14991939817302524,0.6489177077244448,44,0.15770609318996415,0.15770609318996415,0.007786695016938905,235,0.6471848602310166,0.646973853571682,0.6477206747900768,0.6487834217561271,-0.0002110066593346005,0.0005358145590601548
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,7,279,0.14991939817302524,0.6489177077244448,42,0.15053763440860216,0.15053763440860216,0.0006182362355769133,237,0.6471848602310166,0.6458057515051966,0.6472644269377884,0.6487834217561271,-0.001379108725820033,7.956670677178312e-05
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,8,279,0.14991939817302524,0.6489177077244448,35,0.12544802867383512,0.12544802867383512,-0.024471369499190126,244,0.6471848602310166,0.6471950414696291,0.6472532811291831,0.6487834217561271,1.018123861251663e-05,6.84208981664991e-05
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,1.0,279,random,9,279,0.14991939817302524,0.6489177077244448,44,0.15770609318996415,0.15770609318996415,0.007786695016938905,235,0.6471848602310166,0.6470741049521745,0.6469638852781266,0.6487834217561271,-0.00011075527884207848,-0.00022097495288997404
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,top,-1,279,0.14991939817302524,0.6489177077244448,77,0.13799283154121864,0.27598566308243727,-0.011926566631806607,202,0.6471848602310166,0.6532666643231708,0.6468970678892075,0.6487834217561271,0.006081804092154197,-0.00028779234180908997
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,bottom_oracle_diagnostic,-1,279,0.14991939817302524,0.6489177077244448,4,0.007168458781362007,0.014336917562724014,-0.14275093939166322,275,0.6471848602310166,0.7513153670462424,0.6474633718605513,0.6487834217561271,0.10413050681522573,0.00027851162953462794
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,two_tailed,-1,279,0.14991939817302524,0.6489177077244448,0,0.0,0.0,-0.14991939817302524,279,0.6471848602310166,0.6419552276928732,0.6471848602310166,0.6487834217561271,-0.005229632538143458,0.0
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,0,279,0.14991939817302524,0.6489177077244448,93,0.16666666666666666,0.3333333333333333,0.016747268493641415,186,0.6471848602310166,0.6495243082943407,0.6485969740045553,0.6487834217561271,0.00233944806332409,0.0014121137735386702
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,1,279,0.14991939817302524,0.6489177077244448,84,0.15053763440860216,0.3010752688172043,0.0006182362355769133,195,0.6471848602310166,0.6483545802720408,0.6471294526158731,0.6487834217561271,0.0011697200410242248,-5.540761514355452e-05
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,2,279,0.14991939817302524,0.6489177077244448,84,0.15053763440860216,0.3010752688172043,0.0006182362355769133,195,0.6471848602310166,0.6477676422486237,0.6479451493245718,0.6487834217561271,0.0005827820176070864,0.0007602890935551887
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,3,279,0.14991939817302524,0.6489177077244448,87,0.15591397849462366,0.3118279569892473,0.005994580321598414,192,0.6471848602310166,0.6493107876944113,0.6478097219385562,0.6487834217561271,0.0021259274633946834,0.0006248617075396146
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,4,279,0.14991939817302524,0.6489177077244448,93,0.16666666666666666,0.3333333333333333,0.016747268493641415,186,0.6471848602310166,0.6474193022513244,0.6480598159734243,0.6487834217561271,0.00023444202030775685,0.0008749557424077015
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,5,279,0.14991939817302524,0.6489177077244448,93,0.16666666666666666,0.3333333333333333,0.016747268493641415,186,0.6471848602310166,0.6478439822560631,0.6478741929876203,0.6487834217561271,0.0006591220250464769,0.0006893327566036556
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,6,279,0.14991939817302524,0.6489177077244448,73,0.13082437275985664,0.2616487455197133,-0.019095025413168598,206,0.6471848602310166,0.647286757014027,0.64790933168544,0.6487834217561271,0.00010189678301042449,0.0007244714544233366
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,7,279,0.14991939817302524,0.6489177077244448,83,0.14874551971326164,0.2974910394265233,-0.0011738784597636054,196,0.6471848602310166,0.6485644766871852,0.6478689427379245,0.6487834217561271,0.0013796164561685753,0.0006840825069078793
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,8,279,0.14991939817302524,0.6489177077244448,90,0.16129032258064516,0.3225806451612903,0.011370924407619915,189,0.6471848602310166,0.6456892800095015,0.6477131967177747,0.6487834217561271,-0.0014955802215150804,0.0005283364867580964
cat,n3000,3,384,0.001,margin_targeted,1861,2058,279,2.0,558,random,9,279,0.14991939817302524,0.6489177077244448,90,0.16129032258064516,0.3225806451612903,0.011370924407619915,189,0.6471848602310166,0.6481470008631968,0.64760592307468,0.6487834217561271,0.0009621406321801418,0.000421062843663389
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,top,-1,276,0.1498371335504886,0.6190006848427638,0,0.0,0.0,-0.1498371335504886,276,0.6549581948863584,0.6875469562224229,0.6549581948863584,0.6490752290242977,0.032588761336064476,0.0
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,bottom_oracle_diagnostic,-1,276,0.1498371335504886,0.6190006848427638,0,0.0,0.0,-0.1498371335504886,276,0.6549581948863584,0.6549078201403571,0.6549581948863584,0.6490752290242977,-5.037474600133596e-05,0.0
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,two_tailed,-1,276,0.1498371335504886,0.6190006848427638,0,0.0,0.0,-0.1498371335504886,276,0.6549581948863584,0.6668073227618226,0.6549581948863584,0.6490752290242977,0.011849127875464216,0.0
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,random,0,276,0.1498371335504886,0.6190006848427638,20,0.14492753623188406,0.07246376811594203,-0.004909597318604547,256,0.6549581948863584,0.6594183272937978,0.6552118112885238,0.6490752290242977,0.0044601324074393656,0.0002536164021653686
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,random,1,276,0.1498371335504886,0.6190006848427638,20,0.14492753623188406,0.07246376811594203,-0.004909597318604547,256,0.6549581948863584,0.65679177773205,0.653471937881019,0.6490752290242977,0.0018335828456915726,-0.001486257005339442
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,random,2,276,0.1498371335504886,0.6190006848427638,22,0.15942028985507245,0.07971014492753623,0.00958315630458384,254,0.6549581948863584,0.657339015996576,0.6561388902893979,0.6490752290242977,0.0023808211102175347,0.0011806954030394445
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,random,3,276,0.1498371335504886,0.6190006848427638,13,0.09420289855072464,0.04710144927536232,-0.05563423499976397,263,0.6549581948863584,0.6565157477049356,0.6539110513881408,0.6490752290242977,0.001557552818577168,-0.001047143498217662
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,random,4,276,0.1498371335504886,0.6190006848427638,22,0.15942028985507245,0.07971014492753623,0.00958315630458384,254,0.6549581948863584,0.6575614882543659,0.6554278742959387,0.6490752290242977,0.0026032933680074644,0.00046967940958031473
cat,n3000,4,384,0.0001,margin_targeted,1842,2058,276,0.5,138,random,5,276,0.1498371335504886,0.6190006848427638,24,0.17391304347826086,0.08695652173913043,0.024075909927772254,252,0.6549581948863584,0.6567945283871991,0.6547956264960723,0.6490752290242977,0.00183633350084067,-0.00016256839028616632
