convention,scale,attack,budget_mult,policy,review_budget,score_auroc,recovered,precision,recall,precision_lift,n_pools_beat_top,delete_minus_no_action,correct_minus_no_action
resp,n300,margin_targeted,1.0,random,31.0,0.5106505676698505,4.5,0.1451612903225806,0.1451612903225806,-0.002457757296466967,5,0.0005098389606754714,0.0005462491251090535
resp,n300,margin_targeted,1.0,top,31.0,0.5106505676698505,0.8,0.025806451612903198,0.025806451612903198,-0.12181259600614432,0,-0.0046437963210164395,6.225234818730314e-05
resp,n300,margin_targeted,1.0,two_tailed,31.0,0.5106505676698505,0.6,0.019354838709677396,0.019354838709677396,-0.12826420890937013,0,5.795813862589996e-05,0.00065479622512812
resp,n300,margin_targeted,2.0,bottom_oracle_diagnostic,62.0,0.5106505676698505,6.0,0.09677419354838705,0.1935483870967742,-0.050844854070660486,2,0.02627244626658376,0.00285678240934002
resp,n300,margin_targeted,2.0,random,62.0,0.5106505676698505,9.459999999999999,0.15258064516129027,0.30516129032258066,0.0049615975422426985,4,0.001851236327512865,0.0014024173799940846
resp,n300,margin_targeted,2.0,top,62.0,0.5106505676698505,6.2,0.09999999999999995,0.19999999999999998,-0.047619047619047575,0,-0.00606289575425484,-1.53658937591047e-05
resp,n300,margin_targeted,2.0,two_tailed,62.0,0.5106505676698505,2.4,0.0387096774193548,0.07741935483870968,-0.10890937019969271,0,0.0011346147659251802,0.0009097893426561049
resp,n3000,directional,0.5,bottom_oracle_diagnostic,157.0,0.1449973989100931,78.4,0.49936305732484076,0.24968152866242038,0.34971095554886034,5,-0.02365935036645752,-0.08366243441703267
resp,n3000,directional,0.5,random,157.0,0.1449973989100931,23.76,0.15133757961783437,0.07566878980891714,0.0016854778418540473,5,0.0007094783128173876,-0.022525131686083354
resp,n3000,directional,0.5,top,157.0,0.1449973989100931,0.0,0.0,0.0,-0.14965210177598032,0,0.07030021010015808,0.0
resp,n3000,directional,0.5,two_tailed,157.0,0.1449973989100931,40.4,0.2573248407643312,0.12866242038216555,0.10767273898835086,5,0.03111334513045792,-0.05699237117989926
resp,n3000,directional,1.0,bottom_oracle_diagnostic,314.0,0.1449973989100931,148.8,0.47388535031847134,0.47388535031847134,0.3242332485424909,5,-0.06441136968136282,-0.11424269653800063
resp,n3000,directional,1.0,random,314.0,0.1449973989100931,46.980000000000004,0.14961783439490445,0.14961783439490445,-3.426738107589781e-05,5,0.001926941638998534,-0.04143361637242585
resp,n3000,directional,1.0,top,314.0,0.1449973989100931,0.2,0.00063694267515922,0.00063694267515922,-0.14901515910082108,0,0.12885970988443585,-0.00015973786582702002
resp,n3000,directional,1.0,two_tailed,314.0,0.1449973989100931,78.4,0.24968152866242038,0.24968152866242038,0.10002942688644004,5,0.05720653503278742,-0.08366243441703267
resp,n3000,directional,2.0,bottom_oracle_diagnostic,628.0,0.1449973989100931,239.6,0.3815286624203821,0.7630573248407643,0.23187656064440176,5,-0.1154952469056644,-0.132170867582618
resp,n3000,directional,2.0,random,628.0,0.1449973989100931,93.46,0.14882165605095538,0.29764331210191075,-0.0008304457250249409,5,0.004250336559696531,-0.0713767645479698
resp,n3000,directional,2.0,top,628.0,0.1449973989100931,1.4,0.00222929936305728,0.004458598726114619,-0.147422802412923,0,0.22739045676108832,-0.0006808549580494423
resp,n3000,directional,2.0,two_tailed,628.0,0.1449973989100931,149.0,0.23726114649681523,0.4745222929936306,0.08760904472083494,5,0.09655861330308742,-0.11436930240536539
resp,n3000,margin_targeted,0.5,bottom_oracle_diagnostic,157.0,0.6044383545361941,0.0,0.0,0.0,-0.14965210177598032,0,0.001793595631605362,0.0
resp,n3000,margin_targeted,0.5,random,157.0,0.6044383545361941,22.9,0.14585987261146494,0.07292993630573244,-0.0037922291645153734,5,0.001017595346130352,-0.00047956851371601047
resp,n3000,margin_targeted,0.5,top,157.0,0.6044383545361941,0.2,0.00127388535031846,0.00063694267515922,-0.14837821642566185,0,0.020985271635538122,2.611927811588e-05
resp,n3000,margin_targeted,0.5,two_tailed,157.0,0.6044383545361941,0.0,0.0,0.0,-0.14965210177598032,0,0.00726777887185362,0.0
resp,n3000,margin_targeted,1.0,bottom_oracle_diagnostic,314.0,0.6044383545361941,0.8,0.0025477707006368996,0.0025477707006368996,-0.14710433107534335,0,0.01153667132016252,-5.92259522033872e-05
resp,n3000,margin_targeted,1.0,random,314.0,0.6044383545361941,45.6,0.1452229299363057,0.1452229299363057,-0.00442917183967462,5,0.002150138220131468,-0.0006683483197652805
