convention,scale,pool,dim,lam,attack,alpha,budget,arm,rep,n_train,n_kept,n_deleted,n_test,remaining_poisoned,test_logloss,test_acc,kl_from_clean,mean_abs_pred_div,theta_dist_from_clean,rank_agree_with_clean,uninf_loss,loc_auroc,loc_auprc,loc_prec_at_b,loc_recall_at_b,loc_prec_lift,loc_n_tied_at_cut,loc_n_hits_at_b
cat,n300,3,384,0.001,margin_targeted,1.0,26,random,6,176,150,26,2058,24,0.6987631482991203,0.5272108843537415,0.005953706569844806,0.03872094909360046,7.795876661382918,0.8286027368085906,0.6931471805599453,0.6123076923076923,0.2022594307046407,0.3076923076923077,0.3076923076923077,0.15996503496503497,1,8
cat,n300,3,384,0.001,margin_targeted,1.0,26,random,7,176,150,26,2058,20,0.6927653654316639,0.5340136054421769,0.005607636164998449,0.0376838826310603,7.372323766829873,0.8409364409765011,0.6931471805599453,0.6123076923076923,0.2022594307046407,0.3076923076923077,0.3076923076923077,0.15996503496503497,1,8
cat,n300,3,384,0.001,margin_targeted,1.0,26,random,8,176,150,26,2058,19,0.6968325643045424,0.5296404275996113,0.004149173338892895,0.03246377251901134,6.973985649909323,0.8545041353599984,0.6931471805599453,0.6123076923076923,0.2022594307046407,0.3076923076923077,0.3076923076923077,0.15996503496503497,1,8
cat,n300,3,384,0.001,margin_targeted,1.0,26,random,9,176,150,26,2058,22,0.6972766214823757,0.533041788143829,0.004560285545217127,0.03408136676574258,7.055177832205038,0.8522071833263767,0.6931471805599453,0.6123076923076923,0.2022594307046407,0.3076923076923077,0.3076923076923077,0.15996503496503497,1,8
cat,n300,4,384,0.001,margin_targeted,1.0,28,none,-1,187,187,0,2058,28,0.663819673267108,0.5845481049562682,0.004629204648322828,0.03347507966404228,6.050205797107774,0.8998065206920774,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,detector,-1,187,159,28,2058,22,0.6576193236542245,0.6054421768707483,0.014563038787631585,0.05727182646602807,8.04338023788112,0.8616651091927396,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,margin_matched,-1,187,159,28,2058,28,0.6606326847551671,0.5966958211856171,0.00999105288380187,0.04881416438726395,7.78302408282592,0.8316671723916913,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,oracle_delete,-1,187,159,28,2058,0,0.6661374145507556,0.5835762876579204,0.0027382246930309985,0.025442934956938543,4.235341851382119,0.9525240827196553,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,oracle_correct,-1,187,187,0,2058,0,0.6722679224190887,0.5787172011661808,0.0,0.0,0.0,1.0,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,matched_clean,-1,187,159,28,2058,0,0.6642319464005421,0.6020408163265306,0.004177736972302886,0.03141488872351636,4.560261142905687,0.9429432365168539,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,random,0,187,159,28,2058,24,0.6666257103583062,0.5864917395529641,0.006576846679186517,0.0394972276089956,7.491660515760887,0.8532995780152491,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,random,1,187,159,28,2058,21,0.6579247041632486,0.5991253644314869,0.009439128958589301,0.04686553253039999,7.484273817637791,0.8371920770282916,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,random,2,187,159,28,2058,22,0.6647773582283876,0.5894071914480078,0.004996470729536812,0.035344098867604166,6.8424328355993,0.8787640941352972,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,random,3,187,159,28,2058,24,0.6663108699350356,0.5801749271137027,0.006171914890434412,0.0391132882230455,7.703917463054093,0.8601094238528338,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,random,4,187,159,28,2058,21,0.6663951580780506,0.5952380952380952,0.005626176697592062,0.0374010706466276,6.5524083661887715,0.8708601299569252,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
cat,n300,4,384,0.001,margin_targeted,1.0,28,random,5,187,159,28,2058,25,0.6656561482671779,0.586977648202138,0.0056518733355611535,0.037428384277971086,7.088371982232517,0.8723865848036546,0.6931471805599453,0.6358939802336029,0.20800459846895403,0.21428571428571427,0.21428571428571427,0.06455309396485867,1,6
