seed,attack,detector,auroc,precision_at_budget
16,gradient_flip,ensemble,0.20109211775878444,0.0
16,ambiguity_flip,self_influence,0.41856600189933524,0.07407407407407407
16,ambiguity_flip,cross_fit,0.5446343779677113,0.0
16,ambiguity_flip,training_dynamics,0.7960588793922128,0.4444444444444444
16,ambiguity_flip,ensemble,0.5821462488129154,0.1111111111111111
17,random_flip,self_influence,0.6461170848267622,0.2962962962962963
17,random_flip,cross_fit,0.6580645161290323,0.2962962962962963
17,random_flip,training_dynamics,0.5553166069295101,0.18518518518518517
17,random_flip,ensemble,0.6340501792114696,0.25925925925925924
17,gradient_flip,self_influence,0.3333333333333333,0.07407407407407407
17,gradient_flip,cross_fit,0.4045400238948626,0.2222222222222222
17,gradient_flip,training_dynamics,0.22652329749103942,0.0
17,gradient_flip,ensemble,0.310752688172043,0.07407407407407407
17,ambiguity_flip,self_influence,0.45639187574671447,0.07407407407407407
17,ambiguity_flip,cross_fit,0.6592592592592592,0.07407407407407407
17,ambiguity_flip,training_dynamics,0.8315412186379928,0.5555555555555556
17,ambiguity_flip,ensemble,0.6520908004778972,0.14814814814814814
18,random_flip,self_influence,0.6186958736627611,0.38461538461538464
18,random_flip,cross_fit,0.5807437595517065,0.3076923076923077
18,random_flip,training_dynamics,0.6062149770759042,0.2692307692307692
18,random_flip,ensemble,0.6153846153846154,0.34615384615384615
18,gradient_flip,self_influence,0.30947529291900155,0.038461538461538464
18,gradient_flip,cross_fit,0.31456953642384106,0.07692307692307693
18,gradient_flip,training_dynamics,0.28094752929190014,0.0
18,gradient_flip,ensemble,0.2920275089149261,0.038461538461538464
18,ambiguity_flip,self_influence,0.5275089149261335,0.11538461538461539
18,ambiguity_flip,cross_fit,0.6332144676515538,0.11538461538461539
18,ambiguity_flip,training_dynamics,0.8713703515028018,0.5769230769230769
18,ambiguity_flip,ensemble,0.6854304635761589,0.2692307692307692
19,random_flip,self_influence,0.5524006195147134,0.19230769230769232
19,random_flip,cross_fit,0.5815694372741352,0.19230769230769232
19,random_flip,training_dynamics,0.5482705214248839,0.19230769230769232
19,random_flip,ensemble,0.5582085699535364,0.19230769230769232
19,gradient_flip,self_influence,0.29013939081053175,0.0
19,gradient_flip,cross_fit,0.32911719153329894,0.07692307692307693
19,gradient_flip,training_dynamics,0.19230769230769232,0.0
19,gradient_flip,ensemble,0.24741868869385647,0.0
19,ambiguity_flip,self_influence,0.5196179659266907,0.11538461538461539
