seed,alpha,detector,auroc
16,0.25,cross_fit,0.5068850902184235
16,0.25,training_dynamics,0.42830009496676164
16,0.5,self_influence,0.5600664767331434
16,0.5,cross_fit,0.4681861348528015
16,0.5,training_dynamics,0.4855175688509022
16,0.75,self_influence,0.6272554605887939
16,0.75,cross_fit,0.5641025641025641
16,0.75,training_dynamics,0.6239316239316239
16,1.0,self_influence,0.41856600189933524
16,1.0,cross_fit,0.5446343779677113
16,1.0,training_dynamics,0.7960588793922128
17,0.0,self_influence,0.5675029868578255
17,0.0,cross_fit,0.6332138590203107
17,0.0,training_dynamics,0.32951015531660693
17,0.25,self_influence,0.6635603345280765
17,0.25,cross_fit,0.6908004778972521
17,0.25,training_dynamics,0.4661887694145759
17,0.5,self_influence,0.7144563918757467
17,0.5,cross_fit,0.6673835125448029
17,0.5,training_dynamics,0.5708482676224612
17,0.75,self_influence,0.7027479091995221
17,0.75,cross_fit,0.6038231780167264
17,0.75,training_dynamics,0.6965352449223416
17,1.0,self_influence,0.45639187574671447
17,1.0,cross_fit,0.6592592592592592
17,1.0,training_dynamics,0.8315412186379928
18,0.0,self_influence,0.5537442689760571
18,0.0,cross_fit,0.6930718288334182
18,0.0,training_dynamics,0.31788079470198677
18,0.25,self_influence,0.6174223127865512
18,0.25,cross_fit,0.6594498217014774
18,0.25,training_dynamics,0.467651553744269
18,0.5,self_influence,0.6808456444218034
18,0.5,cross_fit,0.6029037187977585
18,0.5,training_dynamics,0.5937340804890474
18,0.75,self_influence,0.7198166072338258
18,0.75,cross_fit,0.6258278145695364
18,0.75,training_dynamics,0.7045338767193072
18,1.0,self_influence,0.5275089149261335
18,1.0,cross_fit,0.6332144676515538
18,1.0,training_dynamics,0.8713703515028018
19,0.0,self_influence,0.62751677852349
19,0.0,cross_fit,0.7803304078471863
19,0.0,training_dynamics,0.3678368611254517
19,0.25,self_influence,0.6770779556014456
19,0.25,cross_fit,0.6917914300464636
19,0.25,training_dynamics,0.4981930820856995
19,0.5,self_influence,0.6122870418172431
19,0.5,cross_fit,0.5756324212700051
19,0.5,training_dynamics,0.5229736706246774
19,0.75,self_influence,0.7413526071244192
19,0.75,cross_fit,0.6471347444501807
19,0.75,training_dynamics,0.7186370676303562
19,1.0,self_influence,0.5196179659266907
19,1.0,cross_fit,0.6997934950955085
19,1.0,training_dynamics,0.8879710893133712
