attack,detector,metric,n_seeds,mean,sd,median,min,max,p2_5,p97_5,block,alpha,stage,interval_type
,cross_fit,auroc,20,0.6213396656411286,0.06055371116015129,0.6165485168426346,0.5349002849002849,0.7803304078471863,0.5367776241550751,0.7388825828156463,E3,0.0,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.5338899586045461,0.04958159282367562,0.5289760841853643,0.44776828110161443,0.62751677852349,0.45155862655862655,0.6186494258691257,E3,0.0,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.300202983190494,0.04300920093559843,0.2871627283391989,0.2409781576448243,0.3756959573953038,0.2432643745143745,0.37196288666712407,E3,0.0,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.6131976657860451,0.05914758018803479,0.6177820605925182,0.48946986201888165,0.6952861952861953,0.49774209541366404,0.6936261817973227,E3,0.25,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.6038592313628486,0.046313288023626456,0.6092698583933489,0.5035612535612536,0.6770779556014456,0.5072164264566226,0.6706570855915952,E3,0.25,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.43146146938971086,0.03571482522314491,0.43844645550527905,0.3403534253207456,0.4981930820856995,0.3619827974018988,0.48368585612351994,E3,0.25,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.571306520882571,0.05141580073691319,0.5777392505580425,0.4681861348528015,0.6673835125448029,0.4808938746438746,0.6527930107526881,E3,0.5,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.6381575899650077,0.04593731015192888,0.6422988473642068,0.5600664767331434,0.7194383926410071,0.5642479237658976,0.7170719422775084,E3,0.5,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.5438716990273271,0.03827152584900352,0.5407323613205965,0.46744129750665697,0.6204906204906205,0.47602752639517343,0.6149430030148985,E3,0.5,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.5972916417781361,0.03460357755148021,0.602565183779605,0.5176923076923077,0.6491101491101491,0.5312220834720834,0.648171831896664,E3,0.75,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
